month,year,department,employee_count,product_revenue,service_revenue,subscription_revenue,total_revenue,salary_cost,bonus_cost,benefits_cost,infrastructure_cost,marketing_cost,rd_cost,admin_cost,total_expense,gross_profit,operating_profit,tax,net_profit,revenue_per_employee,cost_per_employee
4,2028,Data & AI,105,556851,722318,253539,1532708,1126020,168377,80888,284902,134424,286563,55418,2136592,-164777,-603884,0,-603884,14597,20348
5,2028,Finance,219,757021,684835,161645,1603501,2042613,185820,153535,231857,96411,141406,57996,2909638,-812375,-1306137,0,-1306137,7321,13286
6,2028,Engineering,175,1499624,863354,196838,2559816,918225,134369,71494,108264,78689,227016,65496,1603553,1306311,956263,191252,765011,14627,9163
7,2028,Engineering,212,617586,800200,166197,1583983,2108552,264087,210720,179211,145075,289954,32741,3230340,-993734,-1646357,0,-1646357,7471,15237
8,2028,Data & AI,200,1381177,429303,171892,1982372,2079400,255015,173287,292187,62580,116263,46815,3025547,-505478,-1043175,0,-1043175,9911,15127
9,2028,Engineering,66,1560736,973032,386020,2919788,352902,21591,20469,250810,76409,240866,91154,1054201,2075210,1865587,373117,1492470,44239,15972
10,2028,Finance,178,508078,949919,213185,1671182,1732296,136469,139383,98876,36895,243898,53427,2441244,-403888,-770062,0,-770062,9388,13714
11,2028,HR,271,1095611,992441,138951,2227003,2819484,364259,167725,189562,52436,371117,71188,4035771,-1153160,-1808768,0,-1808768,8217,14892
12,2028,Finance,284,1801412,323238,411632,2536282,2486136,366190,168417,111728,87646,325902,48914,3594933,-387484,-1058651,0,-1058651,8930,12658
1,2029,Engineering,295,1310678,675449,156050,2142177,3460055,436589,205322,77125,64022,257145,44667,4544925,-1652148,-2402748,0,-2402748,7261,15406
2,2029,Product,111,1157027,765243,292922,2215192,964812,129294,90800,276879,24318,335091,78198,1899392,638410,315800,63160,252640,19956,17111
3,2029,HR,113,730689,903658,268430,1902777,671333,41193,38249,171316,123281,167553,90210,1303135,892575,599642,119928,479714,16838,11532
4,2029,Data & AI,153,1167502,416390,317780,1901672,1415250,101100,136620,189108,84526,280150,70954,2277708,17164,-376036,0,-376036,12429,14886
5,2029,Operations,260,947223,454457,248086,1649766,2100800,274474,197074,69507,20661,342780,64948,3070244,-863321,-1420478,0,-1420478,6345,11808
6,2029,Data & AI,113,891484,834388,346582,2072454,981066,127538,70875,145180,58876,131567,97292,1612394,814641,460060,92012,368048,18340,14268
7,2029,Finance,207,1125937,528465,177948,1832350,1548774,107796,133044,68991,118115,261364,72079,2310163,-46779,-477813,0,-477813,8851,11160
8,2029,Finance,247,1387224,982014,302134,2671372,1515839,117957,141306,168422,77249,149407,84764,2254944,837704,416428,83285,333143,10815,9129
9,2029,Customer Support,86,927725,973362,213634,2114721,460358,35087,33478,77604,100938,328559,79713,1115737,1248200,998984,199796,799188,24589,12973
10,2029,Data & AI,136,1053417,855805,326439,2235661,1362720,166771,127421,134119,86500,305796,93619,2276946,433026,-41285,0,-41285,16438,16742
11,2029,Sales & Marketing,204,656713,265348,402206,1324267,1507560,110019,131459,62069,91160,321069,30295,2253631,-566431,-929364,0,-929364,6491,11047
12,2029,Product,222,1087732,577515,436751,2101998,2535240,257928,189953,89841,56474,211302,37824,3378562,-734385,-1276564,0,-1276564,9468,15218
1,2030,HR,250,744604,295364,425798,1465766,2211250,113034,180549,164120,132106,370738,30748,3202545,-1280342,-1736779,0,-1736779,5863,12810
2,2030,Product,244,649898,995255,164309,1809462,2905796,147067,207613,278153,37768,220737,52913,3850047,-1595224,-2040585,0,-2040585,7415,15778
3,2030,HR,230,511469,327958,315319,1154746,1859090,133971,112838,70334,91922,379582,92050,2739787,-1154260,-1585041,0,-1585041,5020,11912
4,2030,Product,244,926128,222592,371431,1520151,2112308,141798,136157,285616,59862,296521,68989,3101251,-1174294,-1581100,0,-1581100,6230,12710
5,2030,Data & AI,56,1493076,561667,106100,2160843,353752,45166,27537,132508,89770,125738,52302,826773,1548845,1334070,266814,1067256,38586,14763
6,2030,Data & AI,117,1651993,559661,311953,2523607,627354,48060,44173,116497,126061,347013,88237,1397395,1432743,1126212,225242,900970,21569,11943
7,2030,Sales & Marketing,91,796214,231644,195103,1222961,782145,67521,42517,249714,74534,238123,40320,1494874,-47021,-271913,0,-271913,13439,16427
8,2030,Operations,234,996210,633661,420156,2050027,2323152,287693,210058,252039,63855,138859,31622,3307278,-664023,-1257251,0,-1257251,8760,14133
9,2030,Data & AI,102,914920,709975,339799,1964694,729810,78124,41482,124475,51718,348855,93452,1467916,761554,496778,99355,397423,19261,14391
10,2030,HR,299,506820,323225,405852,1235897,2463760,156101,158642,233213,103529,295334,37319,3447898,-1756410,-2212001,0,-2212001,4133,11531
11,2030,Product,186,800442,771785,226195,1798422,1598856,158808,107816,84237,100196,105586,75915,2231414,9743,-432992,0,-432992,9668,11996
12,2030,Data & AI,215,930272,624767,345309,1900348,1238830,145772,63608,293920,84907,124432,36785,1988254,243166,-87906,0,-87906,8838,9247
1,2031,Customer Support,241,1088781,223351,253591,1565723,2807409,333320,275491,59231,141987,224186,65376,3907000,-1525103,-2341277,0,-2341277,6496,16211
2,2031,Data & AI,276,1691310,781581,478621,2951512,2882544,397296,257446,279342,91257,158250,62621,4128756,-368624,-1177244,0,-1177244,10693,14959
3,2031,Customer Support,138,641076,816952,331915,1789943,1541460,153613,133675,159453,51209,348737,81531,2469678,-259707,-679735,0,-679735,12970,17896
4,2031,Operations,259,1682352,368897,448226,2499475,2166017,265512,149676,232454,67441,103377,96526,3081003,-2373,-581528,0,-581528,9650,11895
5,2031,Operations,267,1852667,832374,157793,2842834,1989150,204866,152931,230810,83520,158399,71032,2890708,464475,-47874,0,-47874,10647,10826
6,2031,Data & AI,99,1371733,329564,161823,1863120,1064250,86194,76535,150791,63950,102780,77471,1621971,545299,241149,48229,192920,18819,16383
7,2031,Sales & Marketing,264,1853240,821782,261129,2936151,1456488,85258,135126,209885,88488,289598,55905,2320748,980180,615403,123080,492323,11121,8790
8,2031,Engineering,191,1520129,357643,363598,2241370,2013713,116946,181729,242651,69274,274669,62755,2961737,-289663,-720367,0,-720367,11734,15506
9,2031,Operations,255,1075103,291749,220101,1586953,1572840,132722,132647,241023,57882,117783,85907,2340804,-344693,-753851,0,-753851,6223,9179
10,2031,Data & AI,67,973586,820892,343120,2137598,417745,47681,29026,124578,142638,212035,34306,1008009,1383240,1129589,225917,903672,31904,15044
11,2031,HR,238,1015415,733667,412047,2161129,1241646,106320,76280,242591,98520,325415,83305,2174077,351477,-12948,0,-12948,9080,9134
12,2031,Customer Support,242,1350786,325622,239810,1916218,1907686,214652,122864,270816,117908,202561,41666,2878153,-464845,-961935,0,-961935,7918,11893
1,2032,Product,214,628585,241581,412036,1282202,2161400,169468,163738,196826,59719,258968,98353,3108472,-1334992,-1826270,0,-1826270,5991,14525
2,2032,Finance,143,579470,587350,255773,1422593,938509,135168,65995,263606,100970,154761,35899,1694908,65717,-272315,0,-272315,9948,11852
3,2032,Operations,269,523813,907993,463594,1895400,2541512,139879,141830,132478,88723,332186,50922,3427530,-1110776,-1532130,0,-1532130,7046,12741
4,2032,Product,167,898235,218860,403975,1521070,1721269,170788,117783,269977,98300,140637,95666,2614420,-610813,-1093350,0,-1093350,9108,15655
